"1","ProjectVersion","1.1","1"
"405","derived","derived","426"
"406","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","427"
"407","derived","derived","427"
"408","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","428"
"409","derived","derived","428"
"410","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","429"
"411","derived","derived","429"
"412","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_specimenEventCollection_specimen_edu.wustl.catissuecore.domain.Specimen","430"
"413","derived","derived","430"
"414","actualAssociationPointer","edu.wustl.catissuecore.domain.SpecimenEventParameters_null_user_edu.wustl.catissuecore.domain.User","431"
"415","derived","derived","431"
